epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6862.68,0.45622,0.3837,0.88666,0.85383,0.66978,0.73199,0.60491,0.25592,0.22138,0.81151,0.000207686,0.000207686,0.000207686
76,6961.14,0.46146,0.39145,0.88843,0.81486,0.68509,0.74579,0.61132,0.25544,0.21819,0.81016,0.000193728,0.000193728,0.000193728
77,7058.51,0.45836,0.38793,0.88965,0.73125,0.72687,0.74316,0.59681,0.25496,0.21303,0.81017,0.000180201,0.000180201,0.000180201
78,7150.2,0.45468,0.38271,0.88599,0.75767,0.73415,0.73984,0.59084,0.25628,0.21601,0.81103,0.000167119,0.000167119,0.000167119
79,7241.45,0.45878,0.38942,0.88863,0.69118,0.73708,0.72466,0.59877,0.25764,0.22062,0.81158,0.000154495,0.000154495,0.000154495
80,7332.83,0.4493,0.37909,0.88301,0.75471,0.72905,0.7309,0.59862,0.2528,0.21688,0.8101,0.000142342,0.000142342,0.000142342
81,7422.7,0.45214,0.37993,0.88497,0.73126,0.72916,0.73048,0.59252,0.25621,0.21484,0.81074,0.000130671,0.000130671,0.000130671
82,7512.69,0.44872,0.37574,0.88322,0.71587,0.72338,0.72194,0.58787,0.25697,0.22132,0.81212,0.000119494,0.000119494,0.000119494
83,7604.47,0.45165,0.3774,0.88473,0.79426,0.71925,0.73756,0.58852,0.25544,0.21541,0.81042,0.000108822,0.000108822,0.000108822
84,7695.58,0.44892,0.37913,0.88341,0.79504,0.67011,0.73289,0.59037,0.25482,0.21302,0.81055,9.86659e-05,9.86659e-05,9.86659e-05
85,7786.36,0.45057,0.37906,0.88575,0.77496,0.69294,0.73104,0.58961,0.25595,0.21512,0.81143,8.90352e-05,8.90352e-05,8.90352e-05
86,7876.69,0.44538,0.37482,0.88311,0.79359,0.69052,0.73279,0.58911,0.25503,0.21492,0.81095,7.99397e-05,7.99397e-05,7.99397e-05
87,7967.86,0.45167,0.37948,0.88484,0.80509,0.68015,0.7313,0.59035,0.25416,0.21366,0.81076,7.13883e-05,7.13883e-05,7.13883e-05
88,8058.67,0.43664,0.36544,0.87987,0.78808,0.70073,0.74314,0.58952,0.25404,0.21526,0.81119,6.33893e-05,6.33893e-05,6.33893e-05
89,8150.2,0.43842,0.36932,0.88161,0.73203,0.76185,0.74601,0.59169,0.25475,0.21365,0.81023,5.59508e-05,5.59508e-05,5.59508e-05
90,8240.79,0.44044,0.36926,0.88265,0.81153,0.68032,0.72525,0.58621,0.25312,0.21592,0.81078,4.908e-05,4.908e-05,4.908e-05
91,8328.82,0.36972,0.30546,0.84924,0.77938,0.69579,0.74866,0.59209,0.25729,0.21957,0.8109,4.27838e-05,4.27838e-05,4.27838e-05
92,8413.97,0.36506,0.29892,0.84961,0.8269,0.72102,0.76522,0.59764,0.25456,0.21475,0.80995,3.70683e-05,3.70683e-05,3.70683e-05
93,8497.3,0.365,0.2996,0.85255,0.76276,0.73214,0.7544,0.60024,0.25504,0.21395,0.80944,3.19392e-05,3.19392e-05,3.19392e-05
94,8581.11,0.36117,0.29543,0.85091,0.79525,0.71244,0.75017,0.59982,0.25244,0.21571,0.80937,2.74015e-05,2.74015e-05,2.74015e-05
95,8665.49,0.35714,0.29353,0.84716,0.83137,0.69069,0.7468,0.59783,0.25253,0.21261,0.80918,2.34598e-05,2.34598e-05,2.34598e-05
96,8748.91,0.35887,0.29509,0.84773,0.84807,0.68542,0.74885,0.5916,0.25211,0.2154,0.80984,2.01178e-05,2.01178e-05,2.01178e-05
